,,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,10月,資料番号
観光,東城内駐車場利用台数,"8,514 ","8,812 ","8,880 ","9,599 ","7,414 ","7,477 ","9,674 ","12,352 ","9,701 ","10,201 ","10,094 ","8,197 ","7,620 ","9,227 ","8,507 ","8,417 ","10,539 ",3
,曳山展示場入館者数,"10,664 ","9,402 ","9,235 ","8,602 ","7,839 ","8,381 ","9,256 ","9,084 ","9,687 ","9,899 ","8,878 ","6,384 ","5,039 ","4,276 ","5,390 ","4,757 ","4,843 ",4
,旧高取邸入館者数,"7,713 ","6,390 ","5,631 ","5,600 ","4,552 ","5,244 ","5,296 ","4,655 ","3,929 ","3,722 ","3,107 ","1,598 ",922 ,"1,360 ","2,006 ","1,775 ","1,946 ",5
,海中展望塔入場者数　　　　　　※１,"5,943 ","5,331 ","4,283 ","5,192 ","4,195 ","2,984 ","4,453 ","4,129 ","2,184 ","2,855 ","2,942 ","2,919 ","3,254 ","2,149 ",,"3,672 ","6,362 ",6
,鳴神温泉ななのゆ入館者数,"15,704 ","17,111 ","15,928 ","15,724 ","14,719 ","13,035 ","15,349 ","15,320 ","14,221 ","12,148 ","12,672 ","9,752 ","10,508 ","11,830 ","11,057 ","10,130 ","9,865 ",7
,主なホテルの宿泊者数　　　　　※２,"10,677 ","11,414 ","9,733 ","10,399 ","11,496 ","12,993 ","14,149 ","13,512 ","11,720 ","11,536 ","11,537 ","12,843 ","9,879 ","13,688 ","14,168 ","15,696 ",,8
,宿泊者数（千人）　　　　　　　※３,,45 ,27 ,42 ,37 ,43 ,55 ,63 ,45 ,39 ,40 ,46 ,30 ,42 ,38 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"5,765 ","5,563 ","5,168 ","5,278 ","5,082 ","5,337 ","5,630 ","5,646 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"4,434 ","3,115 ","3,083 ","2,899 ","2,528 ","2,266 ","2,710 ","2,370 ","1,892 ","2,065 ","2,115 ","2,171 ","2,224 ","2,078 ","2,098 ","1,718 ","1,784 ",11
