,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,R8,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,
,,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,2月,資料番号
観光,東城内駐車場利用台数,"6,572 ","6,123 ","5,957 ","6,754 ","5,302 ","6,340 ","5,918 ","6,843 ","6,472 ","7,327 ","7,945 ","5,727 ","4,798 ","7,057 ","7,147 ","6,417 ","8,136 ",3
,曳山展示場入館者数,"4,730 ","4,087 ","4,885 ","5,005 ","4,974 ","5,470 ","5,205 ","5,933 ","4,214 ","5,529 ","3,960 ","1,138 ",861 ,"2,499 ","2,567 ","2,910 ","2,755 ",4
,旧高取邸入館者数,"3,442 ","3,731 ","2,581 ","3,030 ","2,767 ","4,339 ","2,863 ","2,132 ","1,766 ","2,318 ","1,353 ",501 ,463 ,"1,085 ","1,202 ","1,058 ","1,470 ",5
,海中展望塔入場者数　　　　　　※１,"2,415 ","1,943 ","1,794 ","2,525 ","1,983 ","1,747 ","1,936 ","2,019 ","1,135 ","1,628 ","2,089 ","1,487 ","1,321 ","1,290 ",,"4,404 ","3,729 ",6
,鳴神温泉ななのゆ入館者数,"14,715 ","14,232 ","14,989 ","15,631 ","14,897 ","16,417 ","15,647 ","13,975 ","13,134 ","13,900 ","12,863 ","8,787 ","8,813 ","12,305 ","11,544 ","11,235 ","10,792 ",7
,主なホテルの宿泊者数　　　　　※２,"6,855 ","9,480 ","10,277 ","7,326 ","8,122 ","9,332 ","10,866 ","11,432 ","9,527 ","9,516 ","6,811 ","2,945 ","5,085 ","10,844 ",,,,8
,宿泊者数（千人）　　　　　　　※３,23 ,26 ,46 ,25 ,29 ,57 ,46 ,35 ,30 ,33 ,24 ,12 ,21 ,31 ,,,,10
,市内４国民宿舎宿泊者数　　　　※４,"3,940 ","5,356 ","4,865 ","3,672 ","3,315 ","3,976 ","3,793 ","4,547 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"1,923 ","1,996 ","2,098 ","2,023 ","1,930 ","1,646 ","1,640 ","1,499 ","1,414 ","1,515 ","1,519 ","1,811 ","1,529 ","1,575 ","1,579 ","1,560 ","1,513 ",11
,唐津城入館者数　　　　　　　　※５,"6,551 ","6,201 ","4,570 ","7,203 ","7,025 ","7,926 ","11,649 ",,"8,308 ","9,617 ","8,658 ","4,641 ","3,965 ","9,880 ","10,545 ","9,928 ","11,192 ",12
,呼子町臨港駐車場利用台数,"3,118 ","3,379 ","2,908 ","3,873 ","2,854 ","3,599 ","4,034 ","3,866 ","3,506 ","4,319 ","4,307 ","2,848 ","2,070 ","3,620 ","3,739 ","3,624 ","4,651 ",13
