,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,R8,
,名護屋城博物館入館者数,"4,724 ","4,671 ","4,803 ",,"5,220 ","7,048 ","5,495 ",,"4,648 ","4,523 ","4,963 ","2,762 ","1,191 ","5,249 ","7,023 ","4,450 ","5,627 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,,"13,101 ","12,023 ","11,701 ","12,540 ","12,173 ","10,436 ","8,494 ","12,156 ","12,471 ","12,292 ","10,525 ",15
,道の駅厳木ふるさと館利用客数,"14,634 ","13,722 ","13,552 ","13,947 ","12,907 ","12,897 ","13,403 ","12,440 ","11,406 ","11,711 ","11,757 ","11,806 ","10,365 ","11,712 ","13,421 ","12,162 ","13,092 ",16
企業活動,制度融資貸付額（千円）,"50,000 ","52,280 ","113,700 ","111,290 ","57,200 ","107,200 ","114,000 ","103,100 ","86,880 ","53,570 ","35,100 ","16,830 ","35,100 ","77,300 ","54,980 ","83,750 ","197,873 ",17
,公共工事前払保証請負金額（百万円）,58 ,105 ,227 ,184 ,357 ,383 ,379 ,53 ,18 ,111 ,204 ,105 ,56 ,217 ,7 ,,,18
,大口契約の水道使用量,"68,209 ","65,407 ","71,678 ","70,433 ","72,763 ","65,827 ","67,302 ","71,313 ","73,068 ","63,136 ","64,898 ","58,562 ","59,650 ","32,472 ","35,408 ","42,996 ","46,889 ",19
,唐津港輸出入額（千円）,"2,029,204 ","1,526,593 ","1,861,894 ","1,063,593 ","2,869,967 ","2,173,571 ","1,659,102 ","2,113,506 ","2,257,145 ","2,536,144 ","2,589,359 ","571,189 ","2,790,431 ","13,333,302 ","2,826,394 ","5,722,631 ","2,787,005 ",20
一次産業,JAからつ総出荷額（千円）,"1,537,425 ","1,575,420 ","1,676,908 ","1,674,915 ","1,817,017 ","2,116,165 ","2,114,296 ","2,142,082 ","2,124,094 ","2,229,161 ","2,072,950 ","2,256,102 ","1,974,527 ","2,208,382 ","2,072,973 ","1,978,967 ","2,034,960 ",21
,唐津港魚市場取扱量（トン）,"3,487 ","3,696 ","3,846 ","2,803 ","2,643 ","3,503 ","2,964 ","2,469 ","3,995 ","2,995 ","3,031 ","2,816 ","2,416 ","2,652 ","3,620 ","3,419 ","4,125 ",23
雇用,有効求人倍率　　　　　　　　　※７,0.42 ,0.52 ,0.65 ,0.65 ,0.92 ,0.82 ,0.96 ,1.19 ,1.14 ,1.29 ,1.15 ,1.07 ,1.29 ,1.29 ,1.35 ,1.36 ,1.28 ,24
個人消費,タクシー利用者数,"67,375 ","69,171 ","68,762 ","61,564 ","63,464 ","67,287 ","65,252 ","65,333 ","64,776 ","60,829 ","55,040 ","36,266 ","32,778 ","41,846 ","41,059 ","38,794 ",,"25,26"
,乗用車登録台数（軽自・二輪）,540 ,548 ,632 ,615 ,676 ,612 ,624 ,560 ,577 ,586 ,533 ,632 ,528 ,578 ,548 ,684 ,563 ,27
,新設住宅戸数（個人持家・建売）※８,24 ,9 ,72 ,17 ,96 ,20 ,18 ,20 ,30 ,29 ,28 ,,,,,,,
,新設住宅戸数（貸家・社宅等）　※８,6 ,0 ,0 ,52 ,14 ,47 ,52 ,24 ,6 ,44 ,16 ,,,,,,,
広域交流,厳木多久道路交通量,"103,897 ","105,495 ","100,030 ","100,473 ","100,066 ","111,835 ","113,716 ","110,013 ","107,725 ","108,702 ","109,046 ","95,152 ","84,729 ","109,733 ","115,743 ","101,430 ","111,838 ",28
,福岡・唐津間高速バス利用者数,"33,398 ","34,096 ","40,744 ","42,751 ","41,477 ","40,247 ","42,985 ","40,019 ","41,255 ","42,557 ","41,621 ","20,986 ","21,404 ","32,632 ","34,346 ","32,662 ","31,872 ",29
,,,,,,,,,,,,,,,,,,,
※１,海中展望塔入場者数,2023年9月から2024年3月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,,
※２,主なホテルの宿泊者数,2024年2月はホテル側の事情によりデータが欠測しています。,,,,,,,,,,,,,,,,,
※３,宿泊者数,データの収集を半期ごとに行っているため、データがまとまり次第公表します。,,,,,,,,,,,,,,,,,
※４,市内４国民宿舎宿泊者数,2017年4月から4施設中3施設が民間に委譲されたためデータは公表しません。,,,,,,,,,,,,,,,,,
※５,唐津城入館者数,2016年10月から2017年7月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,,
※６,道の駅桃山天下市利用客数,2015年4月以前は月毎の利用客のデータがありません。,,,,,,,,,,,,,,,,,
※７,有効求人倍率,厚生労働省では年度毎に倍率が公表されており、年毎の倍率は公表されていません。,,,,,,,,,,,,,,,,,
※８,新設住宅戸数,2020年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,,
