,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,9月,資料番号
観光,東城内駐車場利用台数,"8,077 ","8,163 ","6,981 ","7,869 ","8,859 ","9,988 ","12,931 ","8,478 ","8,337 ","8,002 ","7,210 ","5,894 ","7,431 ","8,256 ","8,499 ","8,414 ",3
,曳山展示場入館者数,"5,380 ","6,155 ","6,417 ","5,600 ","6,604 ","7,140 ","5,473 ","6,132 ","5,633 ","5,070 ","3,179 ",0 ,"2,436 ","2,816 ","2,918 ","2,286 ",4
,旧高取邸入館者数,"4,000 ","4,499 ","3,667 ","3,492 ","3,897 ","4,766 ","2,674 ","2,643 ","2,545 ","2,064 ",998 ,345 ,997 ,"1,213 ","1,227 ","1,230 ",5
,海中展望塔入場者数　　　　　　※１,"6,367 ","5,159 ","4,322 ","6,143 ","5,682 ","6,559 ","3,287 ","3,194 ",322 ,"3,135 ","3,562 ","2,260 ","1,459 ",,"8,931 ","7,439 ",6
,鳴神温泉ななのゆ入館者数,"17,620 ","15,871 ","15,793 ","16,272 ","15,823 ","17,113 ","13,880 ","14,228 ","13,781 ","12,092 ","8,152 ","5,257 ","8,848 ","10,237 ","8,108 ","9,961 ",7
,主なホテルの宿泊者数　　　　　※２,"10,523 ","9,987 ","9,484 ","11,308 ","13,954 ","15,255 ","12,667 ","11,111 ","10,877 ","10,090 ","9,530 ","4,792 ","12,360 ","11,530 ","17,320 ",,8
,宿泊者数（千人）　　　　　　　※３,42 ,31 ,34 ,39 ,45 ,70 ,71 ,47 ,41 ,52 ,39 ,14 ,35 ,33 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"4,277 ","4,917 ","4,526 ","5,146 ","4,616 ","5,107 ","4,962 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,560 ","2,841 ","2,741 ","2,728 ","2,525 ","2,514 ","1,931 ","1,848 ","1,848 ","1,876 ","1,961 ",775 ,"1,576 ","1,732 ","1,731 ","1,610 ",11
,唐津城入館者数　　　　　　　　※５,"8,419 ","10,223 ","8,631 ","10,171 ","11,547 ","14,505 ","10,871 ","12,146 ","11,262 ","9,924 ","7,668 ","3,417 ","7,841 ","10,778 ","11,485 ","10,277 ",12
,呼子町臨港駐車場利用台数,"5,681 ","5,990 ","5,589 ","6,174 ","6,463 ","7,741 ","5,912 ","6,089 ","6,639 ","5,568 ","4,604 ","4,109 ","3,915 ","4,437 ","6,254 ","5,903 ",13
,名護屋城博物館入館者数,"8,027 ","9,069 ","7,088 ","10,772 ","8,306 ","9,140 ","11,911 ","7,363 ","6,791 ","7,009 ","6,839 ","3,585 ","7,183 ","8,236 ","6,950 ","6,338 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,"23,581 ","16,366 ","16,973 ","16,723 ","14,839 ","15,733 ","9,082 ","13,295 ","14,817 ","17,219 ","15,359 ",15
,道の駅厳木ふるさと館利用客数,"17,172 ","17,767 ","17,156 ","18,381 ","17,258 ","18,433 ","14,821 ","15,166 ","14,254 ","13,325 ","13,101 ","9,067 ","12,369 ","14,352 ","16,609 ","15,647 ",16
企業活動,制度融資貸付額（千円）,"53,230 ","141,030 ","103,500 ","204,800 ","149,050 ","126,050 ","141,400 ","93,000 ","25,450 ","76,847 ","18,000 ","106,250 ","85,700 ","110,780 ","49,250 ","68,200 ",17
,公共工事前払保証請負金額（百万円）　※７,224 ,372 ,590 ,391 ,816 ,219 ,670 ,734 ,739 ,262 ,724 ,149 ,392 ,256 ,,,18
,大口契約の水道使用量,"56,695 ","52,717 ","51,658 ","55,676 ","58,540 ","47,704 ","53,348 ","51,051 ","52,944 ","52,741 ","37,127 ","40,675 ","47,080 ","45,742 ","50,204 ","53,096 ",19
,唐津港輸出入額（千円）,"2,107,712 ","1,490,671 ","3,620,350 ","1,539,397 ","2,041,942 ","1,098,130 ","1,849,671 ","2,457,959 ","1,163,745 ","2,370,912 ","808,986 ","1,943,453 ","502,991 ","720,794 ","736,987 ","1,126,187 ",20
一次産業,JAからつ総出荷額（千円）,"2,362,051 ","2,332,220 ","1,870,758 ","2,128,022 ","2,099,902 ","2,209,024 ","2,435,211 ","2,313,805 ","2,276,639 ","2,421,742 ","1,872,209 ","1,948,566 ","1,865,325 ","1,887,240 ","1,864,030 ","1,940,846 ",21
,唐津港魚市場取扱量（トン）,"2,796 ","1,668 ",980 ,"2,221 ","1,663 ","2,165 ","2,067 ","2,580 ","2,724 ",871 ,"1,099 ","1,856 ",959 ,"2,180 ","1,952 ","3,175 ",23
雇用,有効求人倍率　　　　　　　　　※８,0.47 ,0.53 ,0.58 ,0.73 ,0.88 ,0.79 ,0.99 ,1.06 ,1.15 ,1.15 ,0.90 ,1.13 ,1.20 ,1.18 ,1.23 ,1.15 ,24
個人消費,タクシー利用者数,"75,034 ","73,182 ","67,628 ","67,551 ","70,610 ","71,891 ","68,599 ","71,543 ","67,546 ","65,357 ","46,288 ","39,609 ","45,070 ","45,363 ","44,616 ","40,142 ","25,26"
,乗用車登録台数（軽自・二輪）,569 ,548 ,471 ,605 ,570 ,452 ,613 ,555 ,540 ,632 ,624 ,521 ,513 ,661 ,761 ,649 ,27
,新設住宅戸数（個人持家・建売）※９,27 ,20 ,25 ,35 ,21 ,21 ,23 ,20 ,25 ,21 ,,,,,,,
,新設住宅戸数（貸家・社宅等）　※９,6 ,21 ,22 ,0 ,0 ,27 ,31 ,8 ,30 ,28 ,,,,,,,
広域交流,厳木多久道路交通量,"114,135 ","112,062 ","108,945 ","113,999 ","125,297 ","133,184 ","118,828 ","119,127 ","120,612 ","115,092 ","107,381 ","101,624 ","103,984 ","126,208 ","122,980 ","113,706 ",28
,福岡・唐津間高速バス利用者数,"37,676 ","44,544 ","46,440 ","45,812 ","45,921 ","45,709 ","44,280 ","45,357 ","38,955 ","46,931 ","27,891 ","22,763 ","32,307 ","36,381 ","36,521 ","37,301 ",29
,,,,,,,,,,,,,,,,,,
※１,海中展望塔入場者数,2023年9月から2024年3月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※２,主なホテルの宿泊者数,2024年2月から2024年3月までホテル側の事情によりデータが欠測しています。,,,,,,,,,,,,,,,,
※３,宿泊者数,データの収集を半期ごとに行っているため、データがまとまり次第公表します。,,,,,,,,,,,,,,,,
※４,市内４国民宿舎宿泊者数,2017年4月から4施設中3施設が民間に委譲されたためデータは公表しません。,,,,,,,,,,,,,,,,
※５,唐津城入館者数,2016年10月から2017年7月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※６,道の駅桃山天下市利用客数,2015年4月以前は月毎の利用客のデータがありません。,,,,,,,,,,,,,,,,
※７,公共工事前払保証請負金額,2024年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,
※８,有効求人倍率,厚生労働省では年度毎に倍率が公表されており、年毎の倍率は公表されていません。,,,,,,,,,,,,,,,,
※９,新設住宅戸数,2020年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,
