,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,6月,資料番号
観光,東城内駐車場利用台数,"7,115 ","6,268 ","6,534 ","6,651 ","6,534 ","7,053 ","6,412 ","6,733 ","7,566 ","6,690 ","4,985 ","5,371 ","5,859 ","7,760 ","6,486 ","6,907 ",3
,曳山展示場入館者数,"5,515 ","4,687 ","4,882 ","5,322 ","5,490 ","5,459 ","5,783 ","5,281 ","5,441 ","5,416 ","1,140 ",937 ,"2,482 ","2,047 ","2,913 ","2,858 ",4
,旧高取邸入館者数,"3,674 ","4,011 ","2,706 ","3,312 ","2,909 ","3,223 ","3,126 ","2,381 ","2,373 ","1,866 ",369 ,531 ,"1,001 ","1,416 ","1,178 ",939 ,5
,海中展望塔入場者数　　　　　　※１,"3,301 ","2,408 ","2,935 ","3,251 ","3,829 ","3,389 ","2,722 ","2,907 ","2,345 ","3,053 ","1,738 ","2,033 ","1,662 ","3,018 ","6,883 ","3,906 ",6
,鳴神温泉ななのゆ入館者数,"14,148 ","13,625 ","14,473 ","15,550 ","15,056 ","14,672 ","14,214 ","13,631 ","12,427 ","12,944 ","7,473 ","8,395 ","9,652 ","9,236 ","9,697 ","9,191 ",7
,主なホテルの宿泊者数　　　　　※２,"10,483 ","8,594 ","7,718 ","11,918 ","11,126 ","14,314 ","9,950 ","9,682 ","9,628 ","11,274 ","2,285 ","4,124 ","11,234 ","14,210 ","10,684 ",,8
,宿泊者数（千人）　　　　　　　※３,34 ,35 ,25 ,33 ,35 ,64 ,42 ,40 ,34 ,56 ,6 ,12 ,33 ,36 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"3,725 ","4,416 ","3,510 ","4,066 ","4,397 ","4,215 ","3,989 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,264 ","1,848 ","2,931 ","2,333 ","2,349 ","2,116 ","1,858 ","1,963 ","1,754 ","1,878 ","1,772 ","2,095 ","1,582 ","1,778 ","1,731 ","1,624 ",11
