,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,3月,資料番号
観光,東城内駐車場利用台数,"10,662 ","6,801 ","7,388 ","11,457 ","9,064 ","10,009 ","9,891 ","10,767 ","11,459 ","10,862 ","7,812 ","8,807 ","7,400 ","11,303 ","8,024 ","10,493 ",3
,曳山展示場入館者数,"5,935 ","5,636 ","5,532 ","5,736 ","5,998 ","7,613 ","6,011 ","7,520 ","6,309 ","5,679 ","2,245 ","2,265 ","1,735 ","3,658 ","2,947 ","3,550 ",4
,旧高取邸入館者数,"4,267 ","4,084 ","3,298 ","3,398 ","3,193 ","4,656 ","3,594 ","3,410 ","2,541 ","2,842 ",837 ,711 ,833 ,"1,483 ","1,619 ","1,990 ",5
,海中展望塔入場者数　　　　　　※１,"3,441 ","2,682 ","2,957 ","3,310 ","3,669 ","3,477 ","3,191 ","3,304 ","2,275 ","3,029 ","2,581 ","1,547 ","2,061 ","2,374 ",,"5,746 ",6
,鳴神温泉ななのゆ入館者数,"16,643 ","17,193 ","17,200 ","16,888 ","16,472 ","17,079 ","16,195 ","15,287 ","14,659 ","14,978 ","6,315 ","9,616 ","10,143 ","11,800 ","12,538 ","11,974 ",7
,主なホテルの宿泊者数　　　　　※２,"9,206 ","8,837 ","11,202 ","10,843 ","11,832 ","13,343 ","14,810 ","15,401 ","12,758 ","13,338 ","4,964 ","5,975 ","10,007 ","16,062 ",,,8
,宿泊者数（千人）　　　　　　　※３,32 ,26 ,40 ,34 ,39 ,72 ,54 ,46 ,39 ,53 ,19 ,20 ,33 ,42 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"4,211 ","4,527 ","5,447 ","5,117 ","5,219 ","5,372 ","5,288 ","5,292 ",,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,240 ","2,144 ","2,901 ","2,623 ","2,430 ","2,289 ","2,108 ","2,205 ","2,139 ","2,118 ","2,269 ","1,982 ","1,964 ","1,965 ","1,927 ","2,099 ",11
,唐津城入館者数　　　　　　　　※５,"9,997 ","8,134 ","8,197 ","9,564 ","13,009 ","13,671 ","18,171 ",,"14,238 ","14,263 ","7,487 ","7,653 ","8,505 ","14,455 ","13,269 ","15,208 ",12
,呼子町臨港駐車場利用台数,"4,309 ","4,360 ","4,015 ","4,892 ","5,171 ","6,009 ","6,098 ","6,494 ","5,648 ","5,653 ","4,177 ","3,673 ","3,620 ","5,222 ","4,341 ","4,975 ",13
,名護屋城博物館入館者数,"5,925 ","5,265 ","5,730 ","4,637 ","9,974 ","8,714 ","8,935 ","2,528 ","7,627 ","8,028 ","4,479 ","4,078 ","7,568 ","8,833 ","10,116 ","9,927 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,,"17,029 ","17,126 ","17,117 ","16,243 ","13,545 ","12,535 ","13,323 ","16,313 ","14,931 ","16,159 ",15
,道の駅厳木ふるさと館利用客数,"17,733 ","15,260 ","16,707 ","18,007 ","16,691 ","16,675 ","16,559 ","16,216 ","15,298 ","14,661 ","13,526 ","13,303 ","13,667 ","14,324 ","14,577 ","15,780 ",16
企業活動,制度融資貸付額（千円）,"108,300 ","50,450 ","102,556 ","109,460 ","109,300 ","44,500 ","185,350 ","185,120 ","92,540 ","43,090 ","100,040 ","79,800 ","83,700 ","21,360 ","77,450 ","103,740 ",17
,公共工事前払保証請負金額（百万円）,18 ,330 ,89 ,68 ,61 ,70 ,159 ,305 ,13 ,126 ,20 ,20 ,120 ,79 ,127 ,,18
,大口契約の水道使用量,"34,706 ","36,237 ","33,787 ","38,761 ","35,847 ","31,912 ","34,299 ","32,955 ","39,356 ","41,252 ","49,818 ","28,980 ","37,726 ","39,139 ","41,839 ","43,324 ",19
,唐津港輸出入額（千円）,"1,341,575 ","1,793,096 ","3,949,132 ","4,426,314 ","1,923,071 ","1,467,997 ","1,026,345 ","2,699,917 ","1,460,064 ","581,904 ","1,805,136 ","2,129,279 ","16,170,940 ","4,429,972 ","2,535,016 ","4,237,819 ",20
一次産業,JAからつ総出荷額（千円）,"3,404,808 ","3,397,365 ","3,514,783 ","3,441,244 ","3,691,684 ","3,799,503 ","3,818,579 ","3,896,730 ","3,756,436 ","3,768,365 ","3,572,594 ","3,824,713 ","3,518,377 ","3,666,769 ","3,801,463 ","3,544,820 ",21
,唐津港魚市場取扱量（トン）,"1,846 ","2,758 ","3,862 ","4,166 ","1,454 ","4,104 ","2,928 ","3,953 ","3,452 ","1,337 ",874 ,"2,577 ","4,137 ","4,300 ","3,014 ","3,070 ",23
雇用,有効求人倍率　　　　　　　　　※７,0.38 ,0.52 ,0.64 ,0.67 ,0.92 ,0.84 ,1.02 ,1.21 ,1.13 ,1.21 ,1.09 ,1.06 ,1.31 ,1.24 ,1.32 ,1.30 ,24
個人消費,タクシー利用者数,"81,198 ","72,399 ","74,103 ","71,979 ","72,647 ","75,837 ","71,264 ","74,144 ","74,917 ","70,242 ","49,019 ","51,407 ","48,322 ","44,628 ","44,777 ","45,685 ","25,26"
,乗用車登録台数（軽自・二輪）,928 ,717 ,833 ,458 ,897 ,932 ,798 ,811 ,859 ,811 ,804 ,907 ,828 ,889 ,733 ,787 ,27
,新設住宅戸数（個人持家・建売）※８,20 ,25 ,13 ,19 ,28 ,23 ,29 ,34 ,34 ,23 ,25 ,,,,,,
,新設住宅戸数（貸家・社宅等）　※８,10 ,34 ,40 ,92 ,26 ,3 ,22 ,46 ,30 ,0 ,48 ,,,,,,
広域交流,厳木多久道路交通量,"120,276 ","113,340 ","113,008 ","116,245 ","138,793 ","132,772 ","131,024 ","134,090 ","129,751 ","125,214 ","106,297 ","115,655 ","114,172 ","126,352 ","130,427 ","121,306 ",28
,福岡・唐津間高速バス利用者数,"36,626 ","36,626 ","50,407 ","49,378 ","43,488 ","48,771 ","46,361 ","46,081 ","48,889 ","49,867 ","33,825 ","28,472 ","30,932 ","38,349 ","38,295 ","38,326 ",29
,,,,,,,,,,,,,,,,,,
※１,海中展望塔入場者数,2023年9月から2024年3月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※２,主なホテルの宿泊者数,2024年2月はホテル側の事情によりデータが欠測しています。,,,,,,,,,,,,,,,,
※３,宿泊者数,データの収集を半期ごとに行っているため、データがまとまり次第公表します。,,,,,,,,,,,,,,,,
※４,市内４国民宿舎宿泊者数,2017年4月から4施設中3施設が民間に委譲されたためデータは公表しません。,,,,,,,,,,,,,,,,
※５,唐津城入館者数,2016年10月から2017年7月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※６,道の駅桃山天下市利用客数,2015年4月以前は月毎の利用客のデータがありません。,,,,,,,,,,,,,,,,
※７,有効求人倍率,厚生労働省では年度毎に倍率が公表されており、年毎の倍率は公表されていません。,,,,,,,,,,,,,,,,
※８,新設住宅戸数,2020年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,
