,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,4月,資料番号
観光,東城内駐車場利用台数,"11,099 ","11,341 ","12,159 ","11,854 ","10,447 ","11,478 ","10,682 ","13,437 ","13,237 ","13,090 ","4,949 ","9,652 ","10,874 ","11,788 ","13,292 ","14,760 ",3
,曳山展示場入館者数,"4,331 ","4,813 ","4,203 ","5,151 ","4,101 ","5,097 ","3,813 ","5,866 ","5,030 ","4,851 ",254 ,"1,612 ","1,988 ","3,165 ","3,088 ","2,460 ",4
,旧高取邸入館者数,"3,766 ","3,038 ","2,505 ","2,971 ","2,783 ","3,471 ","2,655 ","2,792 ","2,632 ","2,385 ",73 ,584 ,874 ,"1,256 ","1,494 ","1,585 ",5
,海中展望塔入場者数　　　　　　※１,"3,605 ","3,849 ","4,520 ","3,669 ","3,250 ","3,029 ","2,900 ","3,646 ","2,857 ","3,818 ",326 ,"1,923 ","2,255 ","2,674 ","11,253 ","5,023 ",6
,鳴神温泉ななのゆ入館者数,"16,499 ","16,362 ","15,247 ","15,429 ","14,622 ","15,395 ","14,717 ","14,628 ","13,569 ","13,193 ","2,075 ","8,308 ","9,783 ","11,015 ","10,102 ","10,106 ",7
,主なホテルの宿泊者数　　　　　※２,"11,558 ","9,826 ","14,634 ","12,116 ","11,330 ","13,805 ","11,986 ","14,627 ","12,259 ","12,987 ","1,078 ","4,417 ","11,494 ","13,353 ","13,109 ",,8
,宿泊者数（千人）　　　　　　　※３,37 ,45 ,38 ,36 ,39 ,64 ,48 ,50 ,45 ,57 ,11 ,17 ,34 ,36 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"3,417 ","4,320 ","4,436 ","4,714 ","4,310 ","4,108 ","4,143 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"4,203 ","2,582 ","3,729 ","3,072 ","2,630 ","2,377 ","2,227 ","2,349 ","2,394 ","2,321 ",654 ,"1,990 ","2,104 ","2,276 ","2,091 ","2,250 ",11
,唐津城入館者数　　　　　　　　※５,"9,884 ","10,743 ","10,177 ","11,332 ","11,643 ","12,841 ","12,773 ",,"15,535 ","16,664 ","1,180 ","6,578 ","10,053 ","13,234 ","13,747 ","13,733 ",12
,呼子町臨港駐車場利用台数,"4,420 ","5,232 ","5,182 ","5,435 ","4,388 ","4,972 ","4,806 ","5,817 ","6,157 ","6,273 ","1,109 ","3,458 ","4,308 ","4,375 ","4,637 ","5,329 ",13
,名護屋城博物館入館者数,"5,707 ","5,620 ","6,112 ","6,365 ","6,182 ","7,029 ","6,567 ","7,579 ","7,045 ","7,800 ","1,165 ","3,862 ","10,993 ","6,470 ","7,785 ","6,929 ",14
