,,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,11月,資料番号
観光,東城内駐車場利用台数,"8,226 ","9,099 ","8,496 ","8,215 ","7,826 ","9,126 ","9,714 ","10,473 ","10,806 ","10,179 ","10,095 ","10,154 ","10,472 ","9,975 ","10,360 ","9,641 ","11,122 ",3
,曳山展示場入館者数,"10,211 ","8,294 ","8,137 ","8,392 ","8,036 ","8,504 ","8,447 ","9,922 ","8,167 ","11,976 ","8,712 ","12,522 ","4,689 ","4,332 ","4,286 ","4,784 ","5,241 ",4
,旧高取邸入館者数,"10,644 ","7,013 ","6,331 ","6,890 ","6,031 ","6,819 ","6,940 ","7,701 ","7,152 ","3,866 ","3,825 ","1,973 ","1,465 ","2,052 ","2,162 ","2,314 ","3,064 ",5
,海中展望塔入場者数　　　　　　※１,"4,039 ","3,865 ","3,331 ","3,303 ","3,108 ","3,406 ","3,667 ","3,350 ","2,461 ","2,192 ","3,097 ","3,134 ","2,742 ","2,082 ",,"5,098 ","6,676 ",6
,鳴神温泉ななのゆ入館者数,"16,250 ","15,765 ","14,978 ","14,897 ","15,278 ","16,131 ","15,672 ","14,134 ","14,492 ","13,329 ","12,842 ","10,813 ","11,232 ","11,235 ","11,050 ","11,082 ","11,490 ",7
,主なホテルの宿泊者数　　　　　※２,"11,170 ","12,327 ","12,154 ","12,690 ","13,238 ","15,735 ","13,973 ","13,746 ","12,199 ","12,277 ","13,060 ","15,432 ","12,690 ","15,831 ","15,998 ","15,324 ",,8
,宿泊者数（千人）　　　　　　　※３,,42 ,24 ,40 ,40 ,44 ,55 ,61 ,43 ,39 ,46 ,51 ,41 ,47 ,43 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"4,785 ","5,105 ","5,181 ","5,484 ","5,209 ","5,727 ","5,231 ","5,608 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,799 ","2,410 ","2,378 ","2,207 ","2,158 ","2,049 ","1,918 ","1,987 ","1,738 ","1,686 ","1,733 ","2,012 ","1,890 ","1,735 ","1,640 ","1,844 ","1,682 ",11
,唐津城入館者数　　　　　　　　※５,"11,226 ","11,052 ","10,782 ","10,864 ","11,361 ","13,851 ","16,044 ",,"16,624 ","14,426 ","14,317 ","12,115 ","10,555 ","12,857 ","15,010 ","14,264 ","18,375 ",12
,呼子町臨港駐車場利用台数,"4,774 ","6,049 ","4,926 ","5,039 ","5,047 ","6,087 ","5,997 ","6,431 ","6,567 ","6,456 ","6,471 ","6,658 ","5,288 ","5,667 ","5,493 ","5,355 ","7,572 ",13
,名護屋城博物館入館者数,"8,626 ","9,884 ","7,919 ","1,165 ","9,580 ","11,957 ","8,953 ","10,019 ","8,499 ","9,177 ","8,496 ","8,113 ","6,950 ","8,698 ","11,848 ","10,139 ","14,262 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,,"17,921 ","17,751 ","17,987 ","16,316 ","16,612 ","18,557 ","15,820 ","16,178 ","18,008 ","16,209 ","18,413 ",15
,道の駅厳木ふるさと館利用客数,"18,140 ","19,597 ","17,268 ","16,980 ","19,177 ","18,021 ","15,903 ","18,172 ","17,665 ","18,658 ","19,078 ","19,684 ","17,581 ","16,199 ","17,533 ","18,837 ","19,621 ",16
企業活動,制度融資貸付額（千円）,"50,500 ","48,550 ","54,180 ","75,090 ","90,800 ","117,500 ","83,700 ","85,430 ","31,450 ","39,340 ","78,300 ","19,000 ","37,300 ","85,820 ","43,470 ","67,730 ","96,770 ",17
,公共工事前払保証請負金額（百万円）　※７,399 ,319 ,276 ,509 ,637 ,219 ,340 ,395 ,128 ,524 ,184 ,152 ,408 ,192 ,151 ,,,18
,大口契約の水道使用量,"40,021 ","39,926 ","36,472 ","41,928 ","38,407 ","41,902 ","38,550 ","41,800 ","43,184 ","44,409 ","52,882 ","36,777 ","35,220 ","45,950 ","44,794 ","51,137 ","56,610 ",19
,唐津港輸出入額（千円）,"475,448 ","3,598,009 ","9,105,034 ","1,640,818 ","2,814,734 ","254,978 ","2,108,726 ","1,906,810 ","1,270,807 ","2,320,807 ","1,456,004 ","2,435,726 ","3,300,962 ","3,670,232 ","2,728,538 ","759,760 ","1,278,229 ",20
