,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,7月,資料番号
観光,東城内駐車場利用台数,"8,969 ","8,564 ","8,077 ","7,733 ","8,457 ","8,230 ","9,012 ","8,416 ","8,653 ","9,048 ","5,575 ","7,333 ","7,014 ","8,170 ","7,356 ","7,505 ",3
,曳山展示場入館者数,"4,233 ","5,808 ","5,550 ","4,099 ","4,359 ","5,344 ","4,673 ","5,470 ","4,000 ","5,112 ","1,954 ","1,757 ","2,673 ","2,601 ","2,496 ","2,499 ",4
,旧高取邸入館者数,"2,623 ","3,356 ","2,971 ","2,167 ","2,545 ","2,746 ","2,532 ","1,997 ","1,561 ","1,735 ",610 ,593 ,932 ,"1,044 ","1,018 ",999 ,5
,海中展望塔入場者数　　　　　　※１,"4,778 ","5,219 ","4,431 ","4,512 ","4,045 ","4,362 ","5,495 ","4,088 ","2,688 ","3,263 ","2,220 ","3,681 ","2,942 ","3,205 ","7,653 ","6,876 ",6
,鳴神温泉ななのゆ入館者数,"16,386 ","17,048 ","15,247 ","15,469 ","14,799 ","16,021 ","15,949 ","15,418 ","11,616 ","12,347 ","8,281 ","9,301 ","10,372 ","9,217 ","10,080 ","10,135 ",7
,主なホテルの宿泊者数　　　　　※２,"11,320 ","11,243 ","11,967 ","13,250 ","12,748 ","15,914 ","11,458 ","11,654 ","10,675 ","12,294 ","5,062 ","10,383 ","13,234 ","13,952 ","13,060 ",,8
,宿泊者数（千人）　　　　　　　※３,41 ,33 ,46 ,42 ,43 ,69 ,58 ,48 ,40 ,53 ,20 ,36 ,41 ,37 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"5,109 ","5,424 ","4,776 ","5,193 ","5,220 ","5,299 ","5,136 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,425 ","2,470 ","2,694 ","2,341 ","2,113 ","2,130 ","2,368 ","1,879 ","1,709 ","1,695 ","1,894 ","2,002 ","1,670 ","1,585 ","1,481 ","1,672 ",11
,唐津城入館者数　　　　　　　　※５,"6,759 ","8,444 ","7,421 ","7,211 ","7,677 ","9,855 ","10,884 ",,"9,709 ","10,771 ","4,342 ","6,178 ","8,334 ","8,709 ","8,588 ","10,600 ",12
,呼子町臨港駐車場利用台数,"5,384 ","6,068 ","5,509 ","6,015 ","5,383 ","5,900 ","7,180 ","6,911 ","6,140 ","6,021 ","4,206 ","5,829 ","4,823 ","4,924 ","6,966 ","6,492 ",13
,名護屋城博物館入館者数,"6,129 ","7,472 ","5,102 ","4,735 ","5,176 ","7,305 ","17,095 ","6,798 ","5,924 ","6,343 ","3,156 ","4,324 ","7,073 ","6,620 ","5,957 ","6,267 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,"17,087 ","18,995 ","14,676 ","14,059 ","14,474 ","14,042 ","14,919 ","15,176 ","14,019 ","13,934 ","15,026 ",15
,道の駅厳木ふるさと館利用客数,"16,690 ","17,013 ","15,355 ","15,856 ","14,452 ","15,212 ","15,350 ","13,438 ","11,102 ","12,064 ","11,486 ","13,292 ","12,844 ","13,024 ","13,748 ","15,411 ",16
企業活動,制度融資貸付額（千円）,"56,820 ","94,670 ","150,850 ","166,530 ","122,800 ","223,150 ","113,400 ","62,700 ","67,410 ","50,900 ","1,000 ","61,350 ","49,100 ","49,600 ","65,000 ","177,240 ",17
,公共工事前払保証請負金額（百万円）　※７,694 ,"1,021 ",795 ,522 ,813 ,332 ,737 ,160 ,931 ,500 ,613 ,582 ,647 ,368 ,,,18
,大口契約の水道使用量,"40,336 ","39,348 ","41,099 ","40,333 ","51,572 ","51,572 ","43,813 ","41,615 ","41,832 ","47,047 ","32,766 ","33,597 ","42,221 ","41,547 ","45,067 ","47,189 ",19
,唐津港輸出入額（千円）,"2,354,693 ","305,140 ","1,381,144 ","417,397 ","382,646 ","307,161 ","1,260,576 ","1,283,179 ","442,892 ","1,471,276 ","2,000,595 ","5,427,111 ","3,828,219 ","1,878,709 ","5,076,106 ","3,098,700 ",20
一次産業,JAからつ総出荷額（千円）,"2,534,435 ","2,490,261 ","2,677,377 ","2,869,818 ","2,720,488 ","2,928,264 ","2,796,631 ","2,778,595 ","2,918,143 ","2,945,756 ","2,793,697 ","2,539,442 ","3,020,845 ","2,951,268 ","2,949,390 ","2,853,454 ",21
,唐津港魚市場取扱量（トン）,"2,598 ","2,746 ","2,269 ","1,992 ","1,644 ","2,047 ","1,550 ","2,064 ","1,493 ","1,334 ",494 ,"1,740 ","2,392 ","1,456 ","1,022 ","3,178 ",23
雇用,有効求人倍率　　　　　　　　　※８,0.43 ,0.51 ,0.58 ,0.70 ,0.90 ,0.81 ,0.97 ,1.03 ,1.12 ,1.20 ,0.88 ,1.11 ,1.21 ,1.18 ,1.21 ,1.18 ,24
個人消費,タクシー利用者数,"80,552 ","75,595 ","73,535 ","75,045 ","77,914 ","79,926 ","74,773 ","75,004 ","71,435 ","73,790 ","52,668 ","52,290 ","48,890 ","50,884 ","47,398 ","48,527 ","25,26"
,乗用車登録台数（軽自・二輪）,526 ,486 ,586 ,616 ,591 ,554 ,534 ,507 ,530 ,584 ,627 ,554 ,481 ,529 ,678 ,506 ,27
,新設住宅戸数（個人持家・建売）※９,20 ,38 ,23 ,39 ,21 ,77 ,33 ,23 ,23 ,29 ,,,,,,,
