,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,新設住宅戸数（貸家・社宅等）　※９,20 ,235 ,18 ,2 ,16 ,48 ,30 ,79 ,0 ,12 ,,,,,,,
広域交流,厳木多久道路交通量,"127,317 ","122,456 ","104,059 ","117,524 ","127,999 ","129,127 ","137,770 ","133,608 ","116,798 ","119,737 ","102,182 ","118,165 ","116,211 ","129,614 ","118,344 ","123,895 ",28
,福岡・唐津間高速バス利用者数,"38,154 ","48,192 ","47,521 ","47,730 ","47,034 ","47,266 ","47,542 ","47,516 ","49,248 ","48,595 ","28,365 ","30,981 ","33,400 ","36,597 ","36,344 ","39,452 ",29
,,,,,,,,,,,,,,,,,,
※１,海中展望塔入場者数,2023年9月から2024年3月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※２,主なホテルの宿泊者数,2024年2月から2024年3月までホテル側の事情によりデータが欠測しています。,,,,,,,,,,,,,,,,
※３,宿泊者数,データの収集を半期ごとに行っているため、データがまとまり次第公表します。,,,,,,,,,,,,,,,,
※４,市内４国民宿舎宿泊者数,2017年4月から4施設中3施設が民間に委譲されたためデータは公表しません。,,,,,,,,,,,,,,,,
※５,唐津城入館者数,2016年10月から2017年7月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,
※６,道の駅桃山天下市利用客数,2015年4月以前は月毎の利用客のデータがありません。,,,,,,,,,,,,,,,,
※７,公共工事前払保証請負金額,2024年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,
※８,有効求人倍率,厚生労働省では年度毎に倍率が公表されており、年毎の倍率は公表されていません。,,,,,,,,,,,,,,,,
※９,新設住宅戸数,2020年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,
