,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,8月,資料番号
観光,東城内駐車場利用台数,"9,141 ","9,670 ","9,805 ","8,357 ","8,045 ","9,409 ","17,642 ","11,167 ","10,782 ","8,604 ","8,125 ","5,416 ","9,838 ","8,830 ","9,047 ","9,076 ",3
,曳山展示場入館者数,"5,441 ","5,363 ","5,382 ","4,990 ","5,441 ","5,459 ","5,298 ","5,674 ","5,935 ","4,688 ","2,419 ","1,056 ","2,687 ","3,054 ","2,899 ","3,443 ",4
,旧高取邸入館者数,"2,512 ","2,540 ","2,052 ","1,826 ","2,495 ","2,337 ","1,984 ","1,802 ","1,763 ","1,477 ",594 ,310 ,848 ,"1,055 ","1,006 ","1,143 ",5
,海中展望塔入場者数　　　　　　※１,"10,326 ","8,828 ","9,346 ","7,707 ","7,741 ","8,959 ","9,292 ","7,403 ","7,301 ","5,984 ","5,460 ","1,480 ","5,031 ","6,466 ","15,101 ","13,065 ",6
,鳴神温泉ななのゆ入館者数,"22,625 ","19,758 ","19,899 ","19,429 ","18,501 ","19,203 ","18,827 ","17,898 ","15,550 ","14,913 ","9,877 ","4,882 ","11,129 ","11,125 ","12,820 ","12,738 ",7
,主なホテルの宿泊者数　　　　　※２,"16,615 ","17,311 ","17,248 ","20,368 ","19,654 ","19,505 ","18,819 ","16,931 ","15,535 ","16,069 ","9,635 ","10,466 ","17,191 ","15,959 ","18,244 ",,8
,宿泊者数（千人）　　　　　　　※３,63 ,49 ,69 ,62 ,61,89 ,86 ,62 ,55 ,63 ,33 ,32 ,48 ,43 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"7,206 ","7,113 ","7,067 ","7,091 ","6,758 ","6,965 ","6,791 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,665 ","2,632 ","3,363 ","2,723 ","2,405 ","2,594 ","2,503 ","2,312 ","2,250 ","2,146 ","2,428 ",936 ,"2,073 ","1,906 ","1,771 ","2,002 ",11
,唐津城入館者数　　　　　　　　※５,"11,354 ","13,061 ","10,630 ","11,419 ","13,375 ","14,268 ","16,637 ","17,320 ","15,839 ","12,912 ","8,334 ","3,343 ","10,755 ","13,262 ","12,735 ","14,194 ",12
,呼子町臨港駐車場利用台数,"10,227 ","9,964 ","10,231 ","9,464 ","8,003 ","10,997 ","11,736 ","10,651 ","10,571 ","9,611 ","7,818 ","3,316 ","7,569 ","7,889 ","9,293 ","9,377 ",13
,名護屋城博物館入館者数,"6,945 ","7,339 ","7,666 ","7,849 ","8,534 ","10,947 ","15,494 ","9,523 ","8,759 ","8,838 ","4,915 ","3,098 ","8,536 ","7,411 ","7,695 ","7,096 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,"25,163 ","23,068 ","21,380 ","24,044 ","19,867 ","20,143 ","10,660 ","19,786 ","19,943 ","22,202 ","20,968 ",15
,道の駅厳木ふるさと館利用客数,"19,007 ","18,364 ","18,532 ","17,687 ","16,836 ","17,669 ","17,223 ","16,278 ","15,552 ","13,784 ","15,543 ","8,454 ","14,448 ","15,970 ","16,684 ","18,065 ",16
企業活動,制度融資貸付額（千円）,"55,480 ","90,930 ","181,530 ","194,700 ","102,840 ","117,803 ","107,190 ","86,950 ","95,200 ","53,850 ","27,500 ","44,500 ","129,150 ","92,720 ","79,360 ","116,220 ",17
,公共工事前払保証請負金額（百万円）　※７,346 ,262 ,610 ,850 ,363 ,"1,161 ",626 ,159 ,457 ,"1,950 ","1,061 ",823 ,"1,212 ",718 ,,,18
