,,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,資料番号
,福岡・唐津間高速バス利用者数,"36,974 ","35,457 ","49,068 ","48,292 ","48,126 ","46,124 ","48,572 ","45,128 ","49,117 ","49,414 ","49,861 ","304,083 ","37,528 ","36,903 ","40,022 ","39,334 ","39,119 ",29
,,,,,,,,,,,,,,,,,,,
※１,海中展望塔入場者数,2023年9月から2024年3月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,,
※２,主なホテルの宿泊者数,2024年2月から2024年3月までホテル側の事情によりデータが欠測しています。,,,,,,,,,,,,,,,,,
※３,宿泊者数,データの収集を半期ごとに行っているため、データがまとまり次第公表します。,,,,,,,,,,,,,,,,,
※４,市内４国民宿舎宿泊者数,2017年4月から4施設中3施設が民間に委譲されたためデータは公表しません。,,,,,,,,,,,,,,,,,
※５,唐津城入館者数,2016年10月から2017年7月まで改修工事のため入館出来なかった期間があります。,,,,,,,,,,,,,,,,,
※６,道の駅桃山天下市利用客数,2015年4月以前は月毎の利用客のデータがありません。,,,,,,,,,,,,,,,,,
※７,公共工事前払保証請負金額,2024年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,,
※８,有効求人倍率,厚生労働省では年度毎に倍率が公表されており、年毎の倍率は公表されていません。,,,,,,,,,,,,,,,,,
※９,新設住宅戸数,2020年4月から市町の内訳が公表されなくなりました。,,,,,,,,,,,,,,,,,
